after genetic algoritm:
['01110001100100100000'	x:[-0.232, -0.896]	y:181.57153932083202	fitness:181.57153932083202
, '01110010110100011110'	x:[-0.212, -0.904]	y:181.53047161779202	fitness:181.53047161779202
, '01011101110100011010'	x:[-0.548, -0.92]	y:179.92877769241596	fitness:179.92877769241596
, '01011101110100011110'	x:[-0.548, -0.904]	y:179.94921411507198	fitness:179.94921411507198
, '01111011101101110100'	x:[-0.072, 1.488]	y:113.97831537459201	fitness:113.97831537459201
, '01111011100101110100'	x:[-0.072, -0.56]	y:179.18974335385602	fitness:179.18974335385602
, '00111011001001001010'	x:[-1.104, 0.296]	y:154.231127949312	fitness:154.231127949312
, '00111001001001001010'	x:[-1.136, 0.296]	y:153.39054256947202	fitness:153.39054256947202
, '00101011000110011100'	x:[-1.36, -0.4]	y:158.45014016	fitness:158.45014016
, '00101011000110011100'	x:[-1.36, -0.4]	y:158.45014016	fitness:158.45014016
, '00110101100100001010'	x:[-1.192, -0.984]	y:163.762319532032	fitness:163.762319532032
, '00110111100100001010'	x:[-1.16, -0.984]	y:164.89673632153603	fitness:164.89673632153603
, '01111000111000001000'	x:[-0.116, 0.032]	y:170.624917728512	fitness:170.624917728512
, '01111000111000001000'	x:[-0.116, 0.032]	y:170.624917728512	fitness:170.624917728512
, '01111101110110101011'	x:[-0.036, -0.34]	y:176.458144559616	fitness:176.458144559616
, '01111101110110101011'	x:[-0.036, -0.34]	y:176.458144559616	fitness:176.458144559616
, '11110001000110011100'	x:[1.808, -0.4]	y:91.436396650496	fitness:91.436396650496
, '11110001000110011100'	x:[1.808, -0.4]	y:91.436396650496	fitness:91.436396650496
, '01110011110110101011'	x:[-0.196, -0.34]	y:177.857865069056	fitness:177.857865069056
, '01110011110110101011'	x:[-0.196, -0.34]	y:177.857865069056	fitness:177.857865069056
, '01110101100111101010'	x:[-0.168, -0.088]	y:173.587911155712	fitness:173.587911155712
, '01110101100111101010'	x:[-0.168, -0.088]	y:173.587911155712	fitness:173.587911155712
, '00111001100100101010'	x:[-1.128, -0.856]	y:166.70285726515203	fitness:166.70285726515203
, '00111001100100001010'	x:[-1.128, -0.984]	y:166.00065147699198	fitness:166.00065147699198
, '01110010111000001100'	x:[-0.212, 0.048]	y:170.94358699955202	fitness:170.94358699955202
, '01110010111000001100'	x:[-0.212, 0.048]	y:170.94358699955202	fitness:170.94358699955202
, '01110001000100001010'	x:[-0.24, -0.984]	y:181.57378976153598	fitness:181.57378976153598
, '01110001000100001010'	x:[-0.24, -0.984]	y:181.57378976153598	fitness:181.57378976153598
, '00110000001000001000'	x:[-1.28, 0.032]	y:155.582879768576	fitness:155.582879768576
, '00110000001000001000'	x:[-1.28, 0.032]	y:155.582879768576	fitness:155.582879768576
, '01111101110110101010'	x:[-0.036, -0.344]	y:176.51100924851198	fitness:176.51100924851198
, '01111101110110101010'	x:[-0.036, -0.344]	y:176.51100924851198	fitness:176.51100924851198
, '01101010111000001010'	x:[-0.34, 0.04]	y:171.45312592	fitness:171.45312592
, '01101010111000001010'	x:[-0.34, 0.04]	y:171.45312592	fitness:171.45312592
, '01110001000110011011'	x:[-0.24, -0.404]	y:178.821664742656	fitness:178.821664742656
, '01110001000110011011'	x:[-0.24, -0.404]	y:178.821664742656	fitness:178.821664742656
, '01110001100100001010'	x:[-0.232, -0.984]	y:181.563588288512	fitness:181.563588288512
, '01110001000100001010'	x:[-0.24, -0.984]	y:181.57378976153598	fitness:181.57378976153598
, '00111101111100100000'	x:[-1.06, 1.152]	y:121.44704390681599	fitness:121.44704390681599
, '00111101111100100000'	x:[-1.06, 1.152]	y:121.44704390681599	fitness:121.44704390681599
, '01110101100100001010'	x:[-0.168, -0.984]	y:181.377405427712	fitness:181.377405427712
, '01110101100100001010'	x:[-0.168, -0.984]	y:181.377405427712	fitness:181.377405427712
, '00110001100100100000'	x:[-1.256, -0.896]	y:162.020651057152	fitness:162.020651057152
, '00110001100100100000'	x:[-1.256, -0.896]	y:162.020651057152	fitness:162.020651057152
, '10100101101101111000'	x:[0.6, 1.504]	y:100.58940758425598	fitness:100.58940758425598
, '10100101101101111000'	x:[0.6, 1.504]	y:100.58940758425598	fitness:100.58940758425598
, '10101011000110011100'	x:[0.688, -0.4]	y:157.23891534233599	fitness:157.23891534233599
, '01110101101110001000'	x:[-0.168, 1.568]	y:110.60922536755201	fitness:110.60922536755201
, '01101010100110011010'	x:[-0.344, -0.408]	y:178.973536264192	fitness:178.973536264192
, '01101010100110001010'	x:[-0.344, -0.472]	y:179.61740354355203	fitness:179.61740354355203
, '01110101110110101010'	x:[-0.164, -0.344]	y:177.71822414771202	fitness:177.71822414771202
, '01110101110110101010'	x:[-0.164, -0.344]	y:177.71822414771202	fitness:177.71822414771202
, '11110101111000001010'	x:[1.884, 0.04]	y:81.073249735936	fitness:81.073249735936
, '11110101111000001010'	x:[1.884, 0.04]	y:81.073249735936	fitness:81.073249735936
, '00110000001000001000'	x:[-1.28, 0.032]	y:155.582879768576	fitness:155.582879768576
, '00110000001000001000'	x:[-1.28, 0.032]	y:155.582879768576	fitness:155.582879768576
, '10101010101001111010'	x:[0.68, 0.488]	y:137.983432564736	fitness:137.983432564736
, '10101010101001111010'	x:[0.68, 0.488]	y:137.983432564736	fitness:137.983432564736
, '00110001110110101010'	x:[-1.252, -0.344]	y:161.73636410291198	fitness:161.73636410291198
, '00111001110110101010'	x:[-1.124, -0.344]	y:165.709636310272	fitness:165.709636310272
, '11110001100110011010'	x:[1.816, -0.408]	y:90.950103212032	fitness:90.950103212032
, '01110001100110011010'	x:[-0.232, -0.408]	y:178.839111606272	fitness:178.839111606272
, '00111011011010000000'	x:[-1.1, 0.512]	y:147.513270676736	fitness:147.513270676736
, '00111001011010000000'	x:[-1.132, 0.512]	y:146.69567510451202	fitness:146.69567510451202
, '01010101100100001010'	x:[-0.68, -0.984]	y:177.794774081536	fitness:177.794774081536
, '01110101100100001010'	x:[-0.168, -0.984]	y:181.377405427712	fitness:181.377405427712
, '01110101100100001010'	x:[-0.168, -0.984]	y:181.377405427712	fitness:181.377405427712
, '01110101101100001010'	x:[-0.168, 1.064]	y:134.59616236339198	fitness:134.59616236339198
, '01111101100000011110'	x:[-0.04, -1.928]	y:178.13292312985598	fitness:178.13292312985598
, '00111101100111100110'	x:[-1.064, -0.104]	y:164.292641923072	fitness:164.292641923072
, '00111001100100100000'	x:[-1.128, -0.896]	y:166.519537549312	fitness:166.519537549312
, '00111001100100100000'	x:[-1.128, -0.896]	y:166.519537549312	fitness:166.519537549312
, '10110101100100001010'	x:[0.856, -0.984]	y:153.379267551232	fitness:153.379267551232
, '10110101100100001010'	x:[0.856, -0.984]	y:153.379267551232	fitness:153.379267551232
, '01110001000111100000'	x:[-0.24, -0.128]	y:174.734384275456	fitness:174.734384275456
, '01110001000111100000'	x:[-0.24, -0.128]	y:174.734384275456	fitness:174.734384275456
, '01101000111000001011'	x:[-0.372, 0.044]	y:171.338659287552	fitness:171.338659287552
, '01101000111000001011'	x:[-0.372, 0.044]	y:171.338659287552	fitness:171.338659287552
, '01110101100100011010'	x:[-0.168, -0.92]	y:181.37696299417598	fitness:181.37696299417598
, '01110111100100011010'	x:[-0.136, -0.92]	y:181.204865622016	fitness:181.204865622016
, '01011101100111100000'	x:[-0.552, -0.128]	y:173.92924480307198	fitness:173.92924480307198
, '01011101100111100000'	x:[-0.552, -0.128]	y:173.92924480307198	fitness:173.92924480307198
, '01111001100111100100'	x:[-0.104, -0.112]	y:173.525034401792	fitness:173.525034401792
, '01111001100111100100'	x:[-0.104, -0.112]	y:173.525034401792	fitness:173.525034401792
, '01101010100111100100'	x:[-0.344, -0.112]	y:174.610895224832	fitness:174.610895224832
, '01101010100111100100'	x:[-0.344, -0.112]	y:174.610895224832	fitness:174.610895224832
, '00111010100110001010'	x:[-1.112, -0.472]	y:167.004288622592	fitness:167.004288622592
, '00111010100110001010'	x:[-1.112, -0.472]	y:167.004288622592	fitness:167.004288622592
, '01110101100100001010'	x:[-0.168, -0.984]	y:181.377405427712	fitness:181.377405427712
, '01111101100111100000'	x:[-0.04, -0.128]	y:173.127958675456	fitness:173.127958675456
, '01101001100111101010'	x:[-0.36, -0.088]	y:174.142198849536	fitness:174.142198849536
